css-1jxf684,css-175oi2r href,css-9pa8cd src,css-175oi2r href (2),css-1jxf684 (2),css-1jxf684 (3),css-1jxf684 (4),css-1jxf684 href,css-1jxf684 (5),css-1jxf684 href (2),css-1jxf684 (6),css-1jxf684 href (3),css-1jxf684 (7),css-1jxf684 href (4),css-1jxf684 (8),css-1jxf684 href (5),css-1jxf684 (9),css-1jxf684 href (6),css-1jxf684 (10),css-1jxf684 (11),css-1jxf684 href (7),css-1jxf684 (12),css-1jxf684 href (8),css-1jxf684 (13),css-1jxf684 href (9),css-1jxf684 (14),css-1jxf684 (15),css-1jxf684 (17),css-1jxf684 (19),css-1jxf684 (21),css-146c3p1 href,css-146c3p1,css-175oi2r href (4),css-9pa8cd src (2),css-175oi2r href (5),r-4qtqp9 src,r-4qtqp9 src (2),r-4qtqp9 src (3),r-4qtqp9 src (4),r-4qtqp9 src (5),r-4qtqp9 src (6),r-4qtqp9 src (7),r-4qtqp9 src (8),r-4qtqp9 src (9),css-146c3p1 (2),css-146c3p1 href (2),css-9pa8cd src (3),css-175oi2r href (6),css-9pa8cd src (4),css-175oi2r href (7),css-9pa8cd src (5),css-1jxf684 (22),css-1jxf684 (23),r-4qtqp9 src (10),css-1jxf684 (24),css-1jxf684 (26),css-1jxf684 (25),css-1jxf684 (27),css-1jxf684 (28),css-1jxf684 (29),css-1jxf684 (30),css-1jxf684 (31),css-1jxf684 (32),css-1jxf684 (33),css-1jxf684 (34),css-1jxf684 (35),css-1jxf684 (36),css-1jxf684 (37),css-1jxf684 (38),css-146c3p1 (3)
人民網日本,https://x.com/peopledailyJP,https://pbs.twimg.com/profile_images/1957355707252248576/LuV0zyjV_x96.jpg,https://x.com/peopledailyJP,@peopledailyJP,·,外交部（外務省）の毛寧報道官は26日の定例記者会見で、「日本の,,,,,,,,,,,,,高市,,,,,,,早苗,首相による台湾関連の誤った,発言,に関して、中国側はすでに厳正な立場を繰り返し明らかにしてきた。日本政府の11月25日の答弁書は、古い理論や主張の繰り返しにとどまっている。台湾問題におけるいわゆる『一貫した立場』や『立場,https://x.com/peopledailyJP/status/1993608277805224365,11月26日,https://x.com/peopledailyJP/status/1993608277805224365/photo/1,https://pbs.twimg.com/media/G6q4DC7bgAALTLT?format=png&name=medium,https://x.com/peopledailyJP/status/1993608277805224365/analytics,,,,,,,,,,,,,,,,,337,1.8万,,,,,,,,,,,,,,,,,
安田菜津紀 Dialogue for People,https://x.com/NatsukiYasuda,https://pbs.twimg.com/profile_images/866990325381955585/MDtQ97c7_x96.jpg,https://x.com/NatsukiYasuda,@NatsukiYasuda,·,「さもしい顔して貰えるものは貰おうとか弱者のフリをして少しでも得をしよう、そんな国民ばかりになったら日本国は滅びてしまいます」（,,,,,,,,,,,,,高市,,,,,,,早苗,議員）――何度言うけれど、こんな,発言,をした議員が総裁や首相になる可能性が見え隠れする社会状況、とても危うい。,https://x.com/NatsukiYasuda/status/1957406310669971608,8月18日,,,https://x.com/NatsukiYasuda/status/1957406310669971608/analytics,,,,,,,,,,,,https://pbs.twimg.com/profile_images/866990325381955585/MDtQ97c7_normal.jpg,,,,,1,45万,,,,,,,,,,,,,,,,,
bomb888,https://x.com/maru87915,https://pbs.twimg.com/profile_images/1597741981664354304/2-v1tnIf_x96.jpg,https://x.com/maru87915,@maru87915,·,"のアホなプライドが

日本国民を巻き込み

更に貧困化へ

安倍晋三がマシに見える異常性",,,,,,,,,,,,,高市,,,,,,,早苗,2,引用,ライブドアニュース,https://x.com/maru87915/status/1994192675856056570,14分钟,https://x.com/livedoornews/status/1994040690716922328/photo/1,https://pbs.twimg.com/media/G6xBZvQbQAA4fu4?format=jpg&name=medium,https://x.com/maru87915/status/1994192675856056570/analytics,,,,,,,,,,,,https://pbs.twimg.com/profile_images/1698896423025270784/GhIkQiXi_normal.png,,,,,@livedoornews,24,,,,,,,,,,,,,,,,,
358ちゃん,https://x.com/max358japan,https://pbs.twimg.com/profile_images/1348172562715398146/zXqrV3h8_x96.png,https://x.com/max358japan,@max358japan,·,核心をズバッと明快に,https://x.com/hashtag/%E5%8A%A0%E8%B3%80%E5%AD%9D%E8%8B%B1?src=hashtag_click,#加賀孝英,,,,,,,,,,,発言,,,,,,,高市,する！素晴らしい,早苗,総理大臣の後継者！小野田紀美だね,https://x.com/max358japan/status/1992171201167593525,11月22日,,https://pbs.twimg.com/amplify_video_thumb/1992109666499977216/img/VLjDwk7w69nZeKnD.jpg,https://x.com/max358japan/status/1992171201167593525/analytics,https://abs-0.twimg.com/emoji/v2/svg/2728.svg,https://abs-0.twimg.com/emoji/v2/svg/1f44d.svg,,,,,,,,,,,,,,,28,2.7万,,,,,,,,,,,,,,,,,
ami,https://x.com/AmiHeartGlitter,https://pbs.twimg.com/profile_images/1850768014263926784/ZEYNu127_x96.jpg,https://x.com/AmiHeartGlitter,@AmiHeartGlitter,·,の中国への攻撃的,,,,,,,,,,,,,高市,,,,,,,早苗,"に対し、中国政府が呼びかけて、多くの訪日観光中国人が、早期帰国を果たした。中国人の愛国に感謝する（中国SNS）

う～ん･･･これは日本にはいい話じゃん",発言,中国人観光客のインバウンドを充てにしていた人達は、残念でしたね,https://x.com/AmiHeartGlitter/status/1994188656391929933,30分钟,,https://pbs.twimg.com/amplify_video_thumb/1994184807946076160/img/7zOOX7G61vs7zRUm.jpg,https://x.com/AmiHeartGlitter/status/1994188656391929933/analytics,https://abs-0.twimg.com/emoji/v2/svg/1f1e8-1f1f3.svg,https://abs-0.twimg.com/emoji/v2/svg/203c.svg,https://abs-0.twimg.com/emoji/v2/svg/1f602.svg,https://abs-0.twimg.com/emoji/v2/svg/2049.svg,https://abs-0.twimg.com/emoji/v2/svg/1f923.svg,https://abs-0.twimg.com/emoji/v2/svg/1f1e8-1f1f3.svg,https://abs-0.twimg.com/emoji/v2/svg/2049.svg,https://abs-0.twimg.com/emoji/v2/svg/1f605.svg,,,,https://pbs.twimg.com/profile_images/1850768014263926784/ZEYNu127_normal.jpg,,https://pbs.twimg.com/amplify_video_thumb/1993948979244212224/img/tiLPtoHrbOGkaoIl?format=jpg&name=360x360,,,@AmiHeartGlitter,388,,,,,,,,,,,,,,,,,
有田芳生,https://x.com/aritayoshifu,https://pbs.twimg.com/profile_images/1938421802797305858/VV7U_L3J_x96.jpg,https://x.com/aritayoshifu,@aritayoshifu,·,〈日中緊迫　交流について支障〉と「沖縄タイムス」。,,,,,,,,,,,,,高市,,,,,,,早苗,「台湾有事」,発言,は、他国への内政干渉であり、しかも沖縄の視点から見れば日本を戦場にする危険なものと切迫感をもって捉えられています。曖昧にしていれば解決するものではありません。,https://x.com/aritayoshifu/status/1993855287535783997,22小时,https://x.com/aritayoshifu/status/1993855287535783997/photo/1,https://pbs.twimg.com/media/G6uYz9Ba0AMK0Bt?format=jpg&name=medium,https://x.com/aritayoshifu/status/1993855287535783997/analytics,,,,,,,,,,,,,,,,,12,"5,368",,,,,,,,,,,,,,,,,
太陽言論,https://x.com/irighting,https://pbs.twimg.com/profile_images/1854404378968629248/AU7L_ln8_x96.jpg,https://x.com/irighting,@irighting,·,首相 の 台湾有事,,,,,,,,,,,,,高市,,,,,,,早苗,"により、日中関係悪化 中国渡航自粛でインバウンド消費 落ち込む

一連の流れを受け、
中国国営メディア は遂に

「 沖縄は日本ではない 」

との妄言まで始めた。

アホ支那人の入国は
こちらから断る。

中国共産党 の英才 反日教育 を受けた
支那人達は2度と来るな。",発言,65,https://x.com/irighting/status/1990593633289187747,11月18日,https://x.com/irighting/status/1990593633289187747/photo/1,https://pbs.twimg.com/media/G6ACW0VbMAMnN0p?format=jpg&name=900x900,https://x.com/irighting/status/1990593633289187747/analytics,,,,,,,,,,,,https://pbs.twimg.com/media/G6ACW0LbMAIA1iB?format=jpg&name=medium,https://x.com/irighting/status/1990593633289187747/photo/2,,,,180,13万,,,,,,,,,,,,,,,,,
人民網日本,https://x.com/peopledailyJP,https://pbs.twimg.com/profile_images/1957355707252248576/LuV0zyjV_x96.jpg,https://x.com/peopledailyJP,@peopledailyJP,·,日本の,,,,,,,,,,,,,高市,,,,,,,早苗,首相が台湾に関する誤った,発言,を行い、中国人民の憤りを招いている。また、日本国内では「日本の降伏を受け入れたのは中華民国であって中華人民共和国ではない。したがって中華人民共和国には台湾問題を論じる資格がない」との声がある。これについて、外交部（外務省）の毛寧報道官が「,https://x.com/peopledailyJP/status/1993584305432674373,11月26日,https://x.com/peopledailyJP/status/1993584305432674373/photo/1,https://pbs.twimg.com/media/G6qiEh9bkAAqZ2_?format=png&name=small,https://x.com/peopledailyJP/status/1993584305432674373/analytics,,,,,,,,,,,,,,,,,"1,262",17万,,,,,,,,,,,,,,,,,
こんな彼氏が好き＋人生観、恋愛観,https://x.com/konnakareshi,https://pbs.twimg.com/profile_images/1612429682586316801/bBVPPWJ3_x96.jpg,https://x.com/konnakareshi,@konnakareshi,·,"さんの言葉

・どんなに辛い状況でも、自分を支えてくれるのは結局「志」しかない

・困難は私を鍛えてくれる最高の試練である

・女性だから無理だと言われるなら、なおさら挑戦する価値がある

・批判を恐れていたら、何も変えることはできない

・政治家は、国民のために働く奉仕者である",,,,,,,,,,,,,高市,,,,,,,早苗,5,160,"1,178",https://x.com/konnakareshi/status/1974357274878517384,10月4日,https://x.com/konnakareshi/status/1974357274878517384/photo/1,,https://x.com/konnakareshi/status/1974357274878517384/analytics,,,,,,,,,,,,,,,,,显示更多,16万,,,,,,,,,,,,,,,,,
鴨野 守,https://x.com/kamo3015,https://pbs.twimg.com/profile_images/1918142103374446596/xCwDS8X6_x96.jpg,https://x.com/kamo3015,@kamo3015,·,俳優の黒沢年雄（81）がブログを更新。,,,,,,,,,,,,,高市,,,,,,,早苗,首相に言及して、「,高市,さんが大問題になる,https://x.com/kamo3015/status/1991304539606249590,11月20日,https://t.co/RZQKekPJO2,https://pbs.twimg.com/card_img/1991161695079985153/MkKGnjDC?format=jpg&name=900x900,https://x.com/kamo3015/status/1991304539606249590/analytics,,,,,,,,,,,https://t.co/RZQKekPJO2,,,,,,显示更多,363万,,,,,,,,,,,,,,,,,
法學院狂魔,https://x.com/Adepteater029,https://pbs.twimg.com/profile_images/1723148666293321728/bRtxD6Ie_x96.jpg,https://x.com/Adepteater029,@Adepteater029,·,の「つい言い過ぎた」,,,,,,,,,,,,,高市,,,,,,,早苗,について、首相官邸にメールを送りました,発言,6,https://x.com/Adepteater029/status/1991278076966416552,11月20日,https://x.com/Adepteater029/status/1991278076966416552/photo/1,https://pbs.twimg.com/media/G6Jw22nacAE3eS1?format=jpg&name=medium,https://x.com/Adepteater029/status/1991278076966416552/analytics,https://abs-0.twimg.com/emoji/v2/svg/1f644.svg,,,,,,,,,,,https://pbs.twimg.com/media/G6Jw29IaoAAe9x6?format=jpg&name=medium,https://x.com/Adepteater029/status/1991278076966416552/photo/2,,,,621,2.6万,,,,,,,,,,,,,,,,,
人民網日本,https://x.com/peopledailyJP,https://pbs.twimg.com/profile_images/1957355707252248576/LuV0zyjV_x96.jpg,https://x.com/peopledailyJP,@peopledailyJP,·,【日本・東京の首相官邸前で,https://t.co/lvZcj4uz1C,"https://
j.people.com.cn/n3/2025/1126/c
94638-20395300.html
…",,,,,,,,,,,高市,,,,,,,発言,首相の,高市,撤回求める抗議集会】東京の首相官邸前で25日夜、数百人が抗議集会を行い、日本の,https://x.com/peopledailyJP/status/1993592057085231130,11月26日,https://x.com/peopledailyJP/status/1993592057085231130/photo/1,https://pbs.twimg.com/media/G6qlcxoa8AECnBW?format=jpg&name=900x900,https://x.com/peopledailyJP/status/1993592057085231130/analytics,,,,,,,,,,,,https://pbs.twimg.com/media/G6qlcxoboAA0UNT?format=jpg&name=small,https://x.com/peopledailyJP/status/1993592057085231130/photo/2,https://pbs.twimg.com/media/G6qlcxsaYAAeaMZ?format=jpg&name=small,https://x.com/peopledailyJP/status/1993592057085231130/photo/3,,257,1.2万,,,,,,,,,,,,,,,,,
法學院狂魔,https://x.com/Adepteater029,https://pbs.twimg.com/profile_images/1723148666293321728/bRtxD6Ie_x96.jpg,https://x.com/Adepteater029,@Adepteater029,·,"「さもしい顔をしてもらえるものはもらおうとか、弱者のふりをして少しでも得をしようと、そんな国民ばかりいたら日本が滅びてしまいます」

「さもしい」のは日本の国益を損ねてまでトランプにすり寄る",,,,,,,,,,,,,高市,,,,,,,早苗,自身じゃないですかね,高市,74,https://x.com/Adepteater029/status/1983651503077515598,10月30日,https://x.com/Adepteater029/status/1983651503077515598/photo/1,https://pbs.twimg.com/media/G4dYh6XasAADTci?format=jpg&name=medium,https://x.com/Adepteater029/status/1983651503077515598/analytics,https://abs-0.twimg.com/emoji/v2/svg/1f644.svg,,,,,,,,,,,,,,,,"2,650",9万,,,,,,,,,,,,,,,,,
古賀茂明,https://x.com/shigeakikoga,https://pbs.twimg.com/profile_images/1915642162211151873/YPdOESBU_x96.jpg,https://x.com/shigeakikoga,@shigeakikoga,·,自民党右翼議員は、「首斬り」,,,,,,,,,,,,,発言,,,,,,,高市,をした中国の大阪総領事を国外追放しろと騒ぎ立てるが、,高市,首相がこのまま突き進めば、,https://x.com/shigeakikoga/status/1993154926315552843,11月25日,https://t.co/K0sdLcPFIv,https://pbs.twimg.com/card_img/1991531718260449280/vOiAVsPU?format=jpg&name=900x900,https://x.com/shigeakikoga/status/1993154926315552843/analytics,,,,,,,,,,,https://t.co/K0sdLcPFIv,,,,,,332,4.7万,,,,,,,,,,,,,,,,,
CGTN JAPANESE,https://x.com/CgtnJapanese,https://pbs.twimg.com/profile_images/1866401737931988992/pYiYWqgr_x96.jpg,https://x.com/CgtnJapanese,@CgtnJapanese,·,【,https://x.com/hashtag/%E8%A6%B3%E5%AF%9F%E7%9C%BC?src=hashtag_click,#観察眼,,,,,,,,,,,高市,,,,,,,早苗,：日本は身を挺して台湾を助けるべきなのか】日本の,発言,首相の台湾問題関連の挑発的な,https://x.com/CgtnJapanese/status/1992868690371465616,11月24日,https://x.com/CgtnJapanese/status/1992868690371465616/photo/1,https://pbs.twimg.com/media/G6gXgZpakAArRzg?format=jpg&name=medium,https://x.com/CgtnJapanese/status/1992868690371465616/analytics,,,,,,,,,,,,,,,,,显示更多,"4,118",,,,,,,,,,,,,,,,,
近藤志郎,https://x.com/MangaDEMoney,https://pbs.twimg.com/profile_images/1956680528318607360/m6aUAGQU_x96.jpg,https://x.com/MangaDEMoney,@MangaDEMoney,·,"憲法は国民と権力で
国民側に極力有利に書かれている。
国民の生命や財産や自由を最大限尊重し。

それを変えるだけではく、戦争出来るようにするのは
まさに言語道断。",https://x.com/hashtag/%E6%86%B2%E6%B3%95%E6%94%B9%E6%AD%A3%E5%8F%8D%E5%AF%BE?src=hashtag_click,#憲法改正反対,https://x.com/hashtag/%E9%AB%98%E5%B8%82%E3%82%84%E3%82%81%E3%82%8D?src=hashtag_click,#高市やめろ,,,,,,,,,高市,,,,,,,早苗,だけは絶対に許してはならない！,,,https://x.com/MangaDEMoney/status/1994195875921317994,2分钟,,,https://x.com/MangaDEMoney/status/1994195875921317994/analytics,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
あらかわ,https://x.com/kazu10233147,https://pbs.twimg.com/profile_images/1048542168871104513/kSRdR7aH_x96.jpg,https://x.com/kazu10233147,@kazu10233147,·,勝手に中国に喧嘩を売る,,,,,,,,,,,,,高市,,,,,,,早苗,。戦争をどう防ぐかが政治の仕事。それに逆行し戦争を煽る,高市,"。

中国との戦争も辞さないとの表明にほかならない。首相としての",https://x.com/kazu10233147/status/1988167224016974080,11月11日,https://t.co/IH1HIxvDET,https://pbs.twimg.com/card_img/1990895381618814976/tdFJLrwq?format=jpg&name=medium,https://x.com/kazu10233147/status/1988167224016974080/analytics,,,,,,,,,,,https://t.co/IH1HIxvDET,,,,,,608,23万,,,,,,,,,,,,,,,,,
永遠の少年３,https://x.com/eiennoshonen3,https://pbs.twimg.com/profile_images/1980056213451591680/ya11rQlY_x96.jpg,https://x.com/eiennoshonen3,@eiennoshonen3,·,首相(総理大臣),https://x.com/hashtag/%E5%8F%B0%E6%B9%BE%E6%9C%89%E4%BA%8B%E7%99%BA%E8%A8%80?src=hashtag_click,#台湾有事発言,https://x.com/hashtag/%E9%AB%98%E5%B8%82%E3%82%84%E3%82%81%E3%82%8D?src=hashtag_click,#高市やめろ,,,,,,,,,高市,,,,,,,早苗,"撤回しないらしい
中国は40年以上も戦争してない国が
日本語で警告文出しているって
相当ヤバイ状況にしてるって自覚がない
「責任ある積極財政」より
「無責任な台湾有事",発言,」の総理大臣要らない,https://x.com/eiennoshonen3/status/1990527562431512806,11月18日,,https://pbs.twimg.com/ext_tw_video_thumb/1990527527316819968/pu/img/3htNtuUNuDGS5YbT.jpg,https://x.com/eiennoshonen3/status/1990527562431512806/analytics,,,,,,,,,,,,https://pbs.twimg.com/profile_images/1080795598939246592/LGRy_VsL_normal.jpg,https://x.com/SakemotoMasao/status/1990357913987367251/photo/1,https://pbs.twimg.com/media/G58r-ZXaIAAi_eS?format=jpg&name=240x240,,,@SakemotoMasao,12万,,,,,,,,,,,,,,,,,
永遠の少年３,https://x.com/eiennoshonen3,https://pbs.twimg.com/profile_images/1980056213451591680/ya11rQlY_x96.jpg,https://x.com/eiennoshonen3,@eiennoshonen3,·,"総理大臣(首相)
日本国民が望むのは
国民を飢えさせない事
戦争しない事
消費税減税しない
一律給付金配らない
台湾有事",https://x.com/hashtag/%E9%AB%98%E5%B8%82%E3%82%84%E3%82%81%E3%82%8D?src=hashtag_click,#高市やめろ,https://x.com/hashtag/%E5%9B%BD%E4%BC%9A%E4%B8%AD%E7%B6%99?src=hashtag_click,#国会中継,,,,,,,,,高市,,,,,,,早苗,"で中国を煽る
政治家として素質０だから
一秒でも早くやめろ",発言,137,https://x.com/eiennoshonen3/status/1993642476851400919,11月26日,,https://pbs.twimg.com/ext_tw_video_thumb/1993642420790292480/pu/img/iadoyzrztpw82iEt.jpg,https://x.com/eiennoshonen3/status/1993642476851400919/analytics,,,,,,,,,,,,,,,,,501,1.4万,,,,,,,,,,,,,,,,,
愛国心の足りないなまけ者 にきめっ！,https://x.com/tacowasa2nd,https://pbs.twimg.com/profile_images/1907105858690904064/mmYqvmKM_x96.jpg,https://x.com/tacowasa2nd,@tacowasa2nd,·,シンデレラの継母並に慈愛に満ちあふれた,,,,,,,,,,,,,高市,,,,,,,早苗,"円安は止めません
賃金アップは止めます
お米の増産も止めます
というかお米は減産させます
移民は減らしません
食品への消費税は無くしません
法人税、所得税、たばこ税の3税を増税します
金融課税も強化します
労働時間は増やします

涙が出そう。",42,403,https://x.com/tacowasa2nd/status/1986744176294166727,11月7日,,,https://x.com/tacowasa2nd/status/1986744176294166727/analytics,,,,,,,,,,,,,,,,,"1,203",2万,,,,,,,,,,,,,,,,,
中華人民共和国駐日本国大使館,https://x.com/ChnEmbassy_jp,https://pbs.twimg.com/profile_images/1246448063079563270/qEePxpv0_x96.jpg,https://x.com/ChnEmbassy_jp,@ChnEmbassy_jp,·,日本の木原稔内閣官房長官の中国関連,,,,,,,,,,,,,発言,,,,,,,高市,について、外交部の毛寧報道官は19日の定例記者会見で、「日本の,早苗,首相の台湾関連の誤った,https://x.com/ChnEmbassy_jp/status/1991383321700643074,11月20日,https://x.com/ChnEmbassy_jp/status/1991383321700643074/photo/1,https://pbs.twimg.com/media/G6LQdT7a4AAonRx?format=jpg&name=small,https://x.com/ChnEmbassy_jp/status/1991383321700643074/analytics,,,,,,,,,,,,,,,,,显示更多,42万,,,,,,,,,,,,,,,,,
桜子,https://x.com/sakurakonihon,https://pbs.twimg.com/profile_images/1439228052047683586/QIiuS41j_x96.jpg,https://x.com/sakurakonihon,@sakurakonihon,·,"さん

「私が嫌なのは、努力をした人が報われない。努力をした人がバ◯をみる政策」

「例えば国民年金と生活保護が逆転しているとか」

「頑張ったら頑張っただけ、手元にお金が残っていくようにしたら、消費マインドも上がる」

納得です",https://x.com/hashtag/primenews?src=hashtag_click,#primenews,https://x.com/hashtag/%E9%AB%98%E5%B8%82%E6%97%A9%E8%8B%97?src=hashtag_click,#高市早苗,,,,,,,,,高市,,,,,,,147万,690,"8,798",7.1万,https://x.com/sakurakonihon/status/1882740817544319257,1月24日,https://x.com/sakurakonihon/status/1882740817544319257/photo/1,https://pbs.twimg.com/media/GiDWy7sa8AAGWyE?format=jpg&name=medium,https://x.com/sakurakonihon/status/1882740817544319257/analytics,https://abs-0.twimg.com/emoji/v2/svg/1f606.svg,https://abs-0.twimg.com/emoji/v2/svg/1f44d.svg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
藤井セイラ,https://x.com/cobta,https://pbs.twimg.com/profile_images/1769651274562306048/El7cFkpP_x96.jpg,https://x.com/cobta,@cobta,·,安倍の残した「戦略的互恵関係」を望むなら台湾,https://x.com/i/status/1991789276884005085,,,,,,,,,,,,発言,,,,,,,高市,の撤回を、と中国に最大限の譲歩されても謝れない,早苗,総理。まるで子ども。ペコペコしろという話ではなく、歴史と道理を知らないとナメられる。G20で会談拒否されていて、このままでは本人が恥をかく。国益を損ねる首相。,https://x.com/cobta/status/1991799948384534629,11月21日,,https://pbs.twimg.com/amplify_video_thumb/1991787792532488192/img/y4le7vt6i8P6P5V2.jpg,https://x.com/cobta/status/1991799948384534629/analytics,,,,,,,,,,"来自 
あいひん",,,,,,,"1,077",40万,,,,,,,,,,,,,,,,,
あらかわ,https://x.com/kazu10233147,https://pbs.twimg.com/profile_images/1048542168871104513/kSRdR7aH_x96.jpg,https://x.com/kazu10233147,@kazu10233147,·,あったことをなかったことにする安倍政治を続ける,,,,,,,,,,,,,高市,,,,,,,早苗,"。これまでの政府見解を逸脱した“戦艦で存立危機事態”答弁。こんなゴマカシが通用すると思っているのか。

「政府見解を完全に維持」　台湾有事めぐる総理",発言,に関する答弁書を閣議決定,https://x.com/kazu10233147/status/1993230965200859506,11月25日,https://t.co/lDBkAbnic8,https://pbs.twimg.com/card_img/1993183333808062465/MWMQClDz?format=png&name=small,https://x.com/kazu10233147/status/1993230965200859506/analytics,,,,,,,,,,,https://t.co/lDBkAbnic8,,,,,,7,"7,844",,,,,,,,,,,,,,,,,
中華人民共和国駐日本国大使館,https://x.com/ChnEmbassy_jp,https://pbs.twimg.com/profile_images/1246448063079563270/qEePxpv0_x96.jpg,https://x.com/ChnEmbassy_jp,@ChnEmbassy_jp,·,ロシア外務省のザハロワ報道官は18日、モスクワで取材に応じ、日本の,,,,,,,,,,,,,高市,,,,,,,早苗,首相が行った台湾関連の誤った,発言,について「きわめて危険だ」と述べ、日本は歴史を深く反省し、第二次世界大戦の教訓を汲み取るべきだと指摘しました。,https://x.com/ChnEmbassy_jp/status/1991672561911153150,11月21日,,https://pbs.twimg.com/amplify_video_thumb/1991672422203031552/img/MAbwec27Y-lQD7OE.jpg,https://x.com/ChnEmbassy_jp/status/1991672561911153150/analytics,,,,,,,,,,,,,,,,,显示更多,71万,,,,,,,,,,,,,,,,,
aki,https://x.com/3h_aki,https://pbs.twimg.com/profile_images/1185109359195381760/W4B6zQpZ_x96.jpg,https://x.com/3h_aki,@3h_aki,·,の偏った軽率な,,,,,,,,,,,,,高市,,,,,,,早苗,"でホテル関係者やミュージシャンやタレントの宿泊のキャンセルや中国公演が次々中止になっいる。

これはとんでもない人災だ。",発言,247,https://x.com/3h_aki/status/1993288905316352429,11月25日,,,https://x.com/3h_aki/status/1993288905316352429/analytics,,,,,,,,,,,,,,,,,509,6.2万,,,,,,,,,,,,,,,,,
越後屋竜魔,https://x.com/berubettonaoto8,https://pbs.twimg.com/profile_images/1965392543975440395/LZQFAunf_x96.jpg,https://x.com/berubettonaoto8,@berubettonaoto8,·,はっきり言うが、日本と中国が全面的に対立してしまったら、日本に対して味方してくれる国は何処にも存在しないということをネトウヨ共は理解すべきだ。だからこそ、,,,,,,,,,,,,,高市,,,,,,,早苗,は自らの,発言,を撤回して中国政府に対して謝罪して、責任を取って総理と議員を辞めなければならない。,https://x.com/berubettonaoto8/status/1994174346001100940,1小时,,,https://x.com/berubettonaoto8/status/1994174346001100940/analytics,https://abs-0.twimg.com/emoji/v2/svg/1f308.svg,https://abs-0.twimg.com/emoji/v2/svg/1f1f5-1f1f8.svg,,,,,,,,,,,,,,,1,839,,,,,,,,,,,,,,,,,
りょう☆青髪,https://x.com/ryolin_mc21,https://pbs.twimg.com/profile_images/1728732206624026624/C_gtg77S_x96.jpg,https://x.com/ryolin_mc21,@ryolin_mc21,·,「台湾省の各界が,https://t.co/RuwCxdb2mE,"https://
news.yahoo.co.jp/articles/3dfcc
dde29315069726f639b8c7fc13c766b2417
…",,,,,,,,,,,高市,,,,,,,早苗,氏に謝罪を求めている」駐日大使X投稿に「どんどん中国がおかしくなっていく」「台湾省ってどこ」非難殺到（中日スポーツ）,発言,高市首相の台湾有事,https://x.com/ryolin_mc21/status/1993691894958961079,11月26日,https://t.co/RuwCxdb2mE,https://pbs.twimg.com/card_img/1993957580553781248/5z7pd5Fk?format=jpg&name=medium,https://x.com/ryolin_mc21/status/1993691894958961079/analytics,,,,,,,,,,,https://t.co/RuwCxdb2mE,,,,,,显示更多,10万,,,,,,,,,,,,,,,,,
朝日新聞(asahi shimbun）,https://x.com/asahi,https://pbs.twimg.com/profile_images/1278264370623963138/r0QWCaBf_x96.png,https://x.com/asahi,@asahi,·,首相の「そんなことより」,https://t.co/SCjCXQ2cqp,"https://
asahi.com/articles/ASTCW
1QMQTCWUTFK008M.html?ref=tw_asahi
…",,,,,,,,,,,発言,,,,,,,発言,に公明・斉藤氏「政治改革の姿勢疑問」,高市,【,https://x.com/asahi/status/1993919728012972534,18小时,https://t.co/SCjCXQ2cqp,https://pbs.twimg.com/card_img/1993918566064902145/09X-oZFE?format=jpg&name=small,https://x.com/asahi/status/1993919728012972534/analytics,,,,,,,,,,,https://t.co/SCjCXQ2cqp,,,,,,181,19万,,,,,,,,,,,,,,,,,
中華人民共和国駐日本国大使館,https://x.com/ChnEmbassy_jp,https://pbs.twimg.com/profile_images/1246448063079563270/qEePxpv0_x96.jpg,https://x.com/ChnEmbassy_jp,@ChnEmbassy_jp,·,日本の市民は国会議事堂前で抗議集会を開き、,,,,,,,,,,,,,高市,,,,,,,早苗,氏に対し誤った,発言,の撤回を求めるとともに、日本政府が「平和憲法」の改正を推し進めることに反対した。,https://x.com/ChnEmbassy_jp/status/1992397691230499140,11月23日,,,https://x.com/ChnEmbassy_jp/status/1992397691230499140/analytics,,,,,,,,,,,,,,,,,"1,930",78万,,,,,,,,,,,,,,,,,
ひで2022真実を追求,https://x.com/hide_Q_,https://pbs.twimg.com/profile_images/1981305441205313536/-i0IJidz_x96.jpg,https://x.com/hide_Q_,@hide_Q_,·,台湾めぐる,https://x.com/i/status/1990804690465141132,,,,,,,,,,,,高市,,,,,,,早苗,"高岡達之が真っ向反論
「岡田さんが言いだした」
その通りだよね。",発言,265,https://x.com/hide_Q_/status/1991114482639405267,11月19日,,https://pbs.twimg.com/amplify_video_thumb/1990803034285486081/img/U7SC0CNN7yxOV20E.jpg,https://x.com/hide_Q_/status/1991114482639405267/analytics,,,,,,,,,,"来自 
358ちゃん",,,,,,,"2,374",26万,,,,,,,,,,,,,,,,,
