css-1jxf684,css-1jxf684 (2),css-146c3p1 href,css-146c3p1,css-1jxf684 (4),css-1jxf684 (5),css-1jxf684 (6),css-1jxf684 (7),css-1jxf684 (8),css-175oi2r href (4),css-1jxf684 (9),css-9pa8cd src (2),css-1jxf684 href,css-1jxf684 (10),css-146c3p1 (2),css-1jxf684 (11),css-1jxf684 (12),css-1jxf684 (13),r-4qtqp9 src,r-4qtqp9 src (2),css-9pa8cd src (3),css-1jxf684 href (2),css-146c3p1 href (2),css-175oi2r href (5),css-9pa8cd src (4),css-175oi2r href (6),css-175oi2r href (7),css-9pa8cd src (5),r-4qtqp9 src (3),r-4qtqp9 src (4),css-146c3p1 (3),css-1jxf684 (15),css-1jxf684 (16),css-1jxf684 (17),css-1jxf684 (14),r-4qtqp9 src (5),r-4qtqp9 src (6),css-175oi2r href (8),css-1jxf684 href (3),css-1jxf684 (18),css-1jxf684 (19),css-9pa8cd src (6),css-1jxf684 (20),css-1jxf684 href (4),css-1jxf684 href (5),r-4qtqp9 src (7),r-4qtqp9 src (8),r-4qtqp9 src (9),r-4qtqp9 src (10)
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1983182430530842638,10月28日,"トランプ大統領と一緒に、横須賀を訪問しました。 日本と地域の平和と安全のために、常日頃、ご尽力いただいている自衛隊、そして在日米軍の皆様に、改めて心からの敬意と感謝の意を表します。（出典：首相官邸ホームページ）

 I visited Yokosuka with President Trump. I would like to once again",显示更多,"2,156",1.4万,14万,https://x.com/takaichi_sanae/status/1983182430530842638/analytics,258万,https://pbs.twimg.com/media/G4Wtsi2asAQwj_z?format=jpg&name=medium,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1983182430530842638/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1983157618232438816,10月28日,"本日、拉致被害者ご家族の皆さまと、トランプ大統領との面会の機会をいただきました。

トランプ大統領からは、「できる限りのすべてのことを行う」との力強い言葉を賜りました。",显示更多,"1,458",1.6万,16万,https://x.com/takaichi_sanae/status/1983157618232438816/analytics,491万,https://pbs.twimg.com/media/G4WWLEabYAAbO4E?format=jpg&name=medium,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1983157618232438816/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1983146269595054101,10月28日,"私の素晴らしい盟友のトランプ大統領と共に！ 

With my wonderful ally and friend,",,"7,444",6.4万,77万,https://x.com/takaichi_sanae/status/1983146269595054101/analytics,"3,278万",https://pbs.twimg.com/media/G4WMJcpasAIoaOj?format=jpg&name=900x900,https://x.com/realDonaldTrump,!,,,,,,,https://pbs.twimg.com/media/G4WMJx-a4AALW54?format=jpg&name=900x900,,,https://x.com/takaichi_sanae/status/1983146269595054101/photo/1,,https://x.com/takaichi_sanae/status/1983146269595054101/photo/2,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1983103566169714898,10月28日,"My sincere appreciation to President Trump for his friendship. Japan, together with our ally, the U.S., is determined to do everything we can to contribute to peace and prosperity at the heart of the world.",The White House,"4,715",3万,29万,https://x.com/takaichi_sanae/status/1983103566169714898/analytics,"1,114万",https://pbs.twimg.com/profile_images/1916971216620982274/1DsLEcqW_normal.jpg,,·,2025/10/28,JAPAN IS BACK!,@WhiteHouse,引用,https://abs-0.twimg.com/emoji/v2/svg/1f1fa-1f1f8.svg,https://abs-0.twimg.com/emoji/v2/svg/1f1ef-1f1f5.svg,https://pbs.twimg.com/media/G4UFVFAXAAAjP0P?format=jpg&name=900x900,,,https://x.com/WhiteHouse/status/1982997073600655599/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1983076554537128359,10月28日,A very productive and fruitful meeting with,显示更多,"1,184",1万,8.9万,https://x.com/takaichi_sanae/status/1983076554537128359/analytics,168万,https://pbs.twimg.com/media/G4VNgH_bYAABrtn?format=jpg&name=medium,https://x.com/realDonaldTrump,"today—covering a wide range of issues of mutual interest.
A new chapter in the golden age of the Japan-U.S. Alliance begins today.
Our ironclad, unshakable Alliance and strong economic ties will continue to bring peace",,,,,,,,,,https://x.com/takaichi_sanae/status/1983076554537128359/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1982741058178953423,10月27日,"Welcome to Japan,",显示更多,"3,110",2.7万,21万,https://x.com/takaichi_sanae/status/1982741058178953423/analytics,574万,https://pbs.twimg.com/media/G4QcVV3WAAAbiC1?format=jpg&name=medium,https://x.com/realDonaldTrump,"!
Looking forward to seeing you tomorrow and having a fruitful discussion on how we can further strengthen our great Alliance.

Special lighting honoring President Trump’s visit is now illuminating landmarks across Tokyo!",,,,,,,,,,https://x.com/takaichi_sanae/status/1982741058178953423/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1982426503225950422,10月26日,アルバニージー豪州首相との会談では、来年の日豪友好協力基本条約署名50周年を見据え、「特別な戦略的パートナーシップ」を更なる高みに引き上げていくことで一致しました。,,"1,013","7,066",8.3万,https://x.com/takaichi_sanae/status/1982426503225950422/analytics,168万,https://pbs.twimg.com/media/G4L-QdiXUAA9OzI?format=jpg&name=900x900,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1982426503225950422/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1982411599551091193,10月26日,ＡＳＥＡＮ議長国であるマレーシアのアンワル首相と首脳会談を行いました。アンワル首相から総理就任への温かい言葉を頂戴しました。マレーシアはＦＯＩＰ実現にとり重要なパートナーです。今回新たなＯＳＡの実施にも合意しました。今後、安全保障や経済分野で関係を強化していきます。,,593,"7,105",7.9万,https://x.com/takaichi_sanae/status/1982411599551091193/analytics,179万,https://pbs.twimg.com/media/G4LwdOxWEAANb3l?format=jpg&name=medium,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1982411599551091193/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1982410672500871386,10月26日,本日、初めての対面での首脳会談としてフィリピンのマルコス大統領と会談を行いました。マルコス大統領と日フィリピンの物品役務相互提供協定（ＡＣＳＡ）の実質合意を確認し、安全保障分野を始め大きな成果が上がったと思います。日米比協力やＦＯＩＰ実現に向けフィリピンと関係を強化していきます。,,452,"7,380",9.3万,https://x.com/takaichi_sanae/status/1982410672500871386/analytics,186万,https://pbs.twimg.com/media/G4LuaZcWoAAI2NQ?format=jpg&name=medium,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1982410672500871386/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1982408763782148249,10月26日,アンワル?マレーシア首相とともに第３回アジア?ゼロエミッション共同体（AZEC）首脳会合を開催しました。脱炭素、経済成長、エネルギー安全保障を同時に実現し、多様な道筋の下でのネット?ゼロに向けた協力の重要性と、この１年の進捗を確認し、共同声明を発出しました。,,459,"4,661",5.3万,https://x.com/takaichi_sanae/status/1982408763782148249/analytics,110万,https://pbs.twimg.com/media/G4LuIx2W0AA9azy?format=jpg&name=medium,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1982408763782148249/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1982394859924406566,10月26日,日ＡＳＥＡＮ首脳会議に参加しました。ASEAN議長であるアンワル?マレーシア首相に御紹介いただき、各国首脳一人一人に御挨拶し、皆様から温かく迎えていただきました。日本とＡＳＥＡＮが心と心の繋がる信頼のパートナーであることを強く感じました。ＡＳＥＡＮは、日本の平和と繁栄に直結する極めて,显示更多,"1,525",1.5万,16万,https://x.com/takaichi_sanae/status/1982394859924406566/analytics,580万,https://pbs.twimg.com/media/G4LhndBXAAAwMNc?format=jpg&name=medium,,,,,,,,,https://pbs.twimg.com/media/G4LhndAWYAAKhPl?format=jpg&name=small,,,https://x.com/takaichi_sanae/status/1982394859924406566/photo/1,https://pbs.twimg.com/media/G4Lhnc-WMAAqTyV?format=jpg&name=small,https://x.com/takaichi_sanae/status/1982394859924406566/photo/2,https://x.com/takaichi_sanae/status/1982394859924406566/photo/3,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1982353188608172515,10月26日,"本日、クアラルンプール日本人墓地を訪問し、慰霊碑に献花しました。マレーシアで命を落とした先人を慰霊することができ、感慨深く思います。
これに続けて、二度の大戦やマレーシアの独立闘争で亡くなられた兵士と市民の霊を慰める国家記念碑も訪問し、マレーシアの歴史に思いを馳せました。",,"2,624",2.6万,23万,https://x.com/takaichi_sanae/status/1982353188608172515/analytics,"2,273万",https://pbs.twimg.com/media/G4K7tcJXgAA1DSt?format=jpg&name=900x900,,,,,,,,,https://pbs.twimg.com/media/G4K7tcIWUAA5F2I?format=jpg&name=900x900,,,https://x.com/takaichi_sanae/status/1982353188608172515/photo/1,,https://x.com/takaichi_sanae/status/1982353188608172515/photo/2,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1982089778494574921,10月25日,Had a good and candid conversation with,显示更多,"2,626",1.3万,11万,https://x.com/takaichi_sanae/status/1982089778494574921/analytics,519万,,https://x.com/realDonaldTrump,"today and truly appreciated his warm congratulatory message on my appointment as Prime Minister. Together with him, I am determined to elevate the Japan–U.S. Alliance to even greater heights.

Starting tomorrow, I’ll be",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1982024962757259747,10月25日,"祝意を頂きありがとうございます。ムリーノ大統領と共に、日?パナマ関係をより一層強化していく所存です。

Muchas gracias por sus felicitaciones,",José Raúl Mulino,290,"2,330",3.5万,https://x.com/takaichi_sanae/status/1982024962757259747/analytics,178万,https://pbs.twimg.com/profile_images/1810052652752891904/nSSpwWAl_normal.jpg,https://x.com/JoseRaulMulino,. Estoy comprometida a seguir fortaleciendo aún más las relaciones entre Japón y Panamá con usted.,2025/10/22,Panamá saluda a  la nueva Primer Ministra de Japón,@JoseRaulMulino,引用,,,,,,,,,,,,,,@takaichi_sanae,por su elección. Seguiremos trabajando juntos por acercar nuestros países más y llevar adelante proyectos comunes   ?xitos.,·,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1982023576837660737,10月25日,"マーティン首相から頂いた温かいお祝いのお言葉に、心から感謝申し上げます。２０２７年の外交関係樹立７０周年に向けて、日本とアイルランドの関係を更に深めるべく、マーティン首相と共に取り組んでいくことを楽しみにしております。

I sincerely appreciate Taoiseach Micheál Martin’s kind words",显示更多,186,"2,890",4万,https://x.com/takaichi_sanae/status/1982023576837660737/analytics,169万,https://pbs.twimg.com/profile_images/1430548640108617730/NZEciFiC_normal.jpg,,·,2025/10/21,"Congratulations to Sanae Takaichi on her historic election as Japan’s first female Prime Minister. 

Ireland and Japan share strong and historic ties. I look forward to working together to deepen that partnership.",@MichealMartinTD,引用,,,,,,,,,,,,,,Micheál Martin,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1981975709712273452,10月25日,"昨日10月24日の深夜には、「ウクライナに関する有志連合オンライン首脳会合」にリモートで出席しました。
今は、マレーシアに向かう機中です。

現地では、先ず、「ASEAN関連首脳会議」に出席します。",显示更多,"2,497",1万,11万,https://x.com/takaichi_sanae/status/1981975709712273452/analytics,644万,https://pbs.twimg.com/media/G4FkZo-WcAAZG0n?format=jpg&name=medium,,,,,,,,,,,,https://x.com/takaichi_sanae/status/1981975709712273452/photo/1,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1981959796963320114,10月25日,"北海道で深夜1時40分頃に強い地震が発生しました。
すぐに官邸に情報連絡室を設置しましたが、現時点で大きな被害は確認されていません。
余震の可能性もありますので、揺れの強かった地域の皆様は、引き続きご注意下さい。",,841,"8,216",19万,https://x.com/takaichi_sanae/status/1981959796963320114/analytics,"1,386万",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1981896699573616742,10月25日,"ウォン首相から温かいお祝いのお言葉を頂き、心から感謝申し上げます。来年の日?シンガポール外交関係樹立６０周年も見据えながら、両国の良好な関係を一層強化するために、ウォン首相と緊密に連携することを楽しみにしています。

Sincerely appreciate to",显示更多,382,"3,242",4.4万,https://x.com/takaichi_sanae/status/1981896699573616742/analytics,165万,https://pbs.twimg.com/profile_images/1988169536714272771/pIlrqChw_normal.jpg,https://x.com/LawrenceWongST,‘s kind congratulation.,2025/10/21,Congratulations to,@LawrenceWongST,引用,,,https://pbs.twimg.com/media/G3yYmoWXoAAwfCe?format=jpg&name=medium,,,https://x.com/LawrenceWongST/status/1980625733065273665/photo/1,,,,,,,,Lawrence Wong,"on her election as the next PM of Japan.

I look forward to working with PM Takaichi to further strengthen the longstanding partnership between Singapore and Japan, and to continue advancing ASEAN-Japan relations.",·,@takaichi_sanae,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1981894932790206888,10月25日,"マルコス大統領から、私の内閣総理大臣就任に当たり、御丁寧な祝辞を頂き、心から感謝申し上げます。
近く閣下にお目にかかることを楽しみにしています。",显示更多,177,"3,721",5.4万,https://x.com/takaichi_sanae/status/1981894932790206888/analytics,205万,https://pbs.twimg.com/profile_images/1543898889975394306/qzuimk3Z_normal.jpg,,·,2025/10/22,"Congratulations to Prime Minister Takaichi Sanae on her historic election as Japan’s first female Prime Minister. Her assumption demonstrates Japan’s firm democratic advocacy, and reflects the country’s commitment to progress and representation. I look forward to working with her",@bongbongmarcos,引用,,,,,https://x.com/bongbongmarcos/status/1980880150842732932,,,,,,,,,Bongbong Marcos,,显示更多,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1981894775445041425,10月25日,"私の内閣総理大臣就任に当たり、御丁寧なメッセージを頂き、心から感謝申し上げます。
近く閣下にお目にかかり、信頼関係を築けることを楽しみにしています。
ＦＯＩＰ実現に向け、包括的?戦略的パートナーである両国の良好な関係を一層緊密なものにするため、閣下と積極的に協力していく考えです。",显示更多,279,"5,558",7.6万,https://x.com/takaichi_sanae/status/1981894775445041425/analytics,485万,https://pbs.twimg.com/profile_images/1877362953596579840/mGNtrUJS_normal.jpg,,·,2025/10/21,"I congratulate Her Excellency Sanae Takaichi on her appointment as Prime Minister of Japan.

Her elevation to office as Japan’s first woman Prime Minister is a landmark in the country’s political life, a reflection of her resolve and the quiet evolution of Japan’s democracy.",@anwaribrahim,引用,,,https://pbs.twimg.com/media/G3wv5nlX0AAlgkL?format=jpg&name=medium,,https://x.com/anwaribrahim/status/1980510617191739824,https://x.com/anwaribrahim/status/1980510617191739824/photo/1,,,,,,,,Anwar Ibrahim,,显示更多,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1981876123056361970,10月25日,"ラクソン首相、温かいメッセージをありがとうございます。日本とニュージーランドは、「自由で開かれたインド太平洋」の担い手という重要なパートナーです。日?ニュージーランド間の戦略的協力パートナーシップを更に強化するため、貴首相と緊密に協力していくことを楽しみにしています。

Thank you",显示更多,190,"2,448",3.5万,https://x.com/takaichi_sanae/status/1981876123056361970/analytics,117万,https://pbs.twimg.com/profile_images/1729024684430344192/Ppz9rurC_normal.jpg,,·,2025/10/22,Congratulations to,@chrisluxonmp,引用,,,,,,,,,,,,,,Christopher Luxon,"on your election as Japan’s 104th Prime Minister - and on the milestone of being the first woman among those 104.

We look forward to working with you and your Government to enhance the strong partnership between our two countries.",,@takaichi_sanae,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1981873589948477706,10月25日,"温かいメッセージに感謝いたします。豪州は「自由で開かれたインド太平洋」実現の上でかけがえのないパートナーであり、同志国連携の中核です。来年の日豪５０周年に向けて、貴首相と幅広い分野で緊密に連携できることを心から楽しみにしています。

Thank you for your warm message. AUS and JPN are",显示更多,254,"2,959",4.2万,https://x.com/takaichi_sanae/status/1981873589948477706/analytics,122万,https://pbs.twimg.com/profile_images/1905521098101608448/BNLk8mRj_normal.jpg,,·,2025/10/21,Congratulations to,@AlboMP,引用,https://abs-0.twimg.com/emoji/v2/svg/1f1e6-1f1fa.svg,https://abs-0.twimg.com/emoji/v2/svg/1f1ef-1f1f5.svg,,,,,,,,,,,,Anthony Albanese,"on your historic appointment as the new Prime Minister of Japan.

Australia and Japan are close friends and I look forward to working with you as we continue to strengthen our relationship.",,@takaichi_sanae,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1981661859636744242,10月24日,ゼレンスキー大統領の温かいお祝いのお言葉に心から感謝申し上げます。日々侵略に立ち向かう、ゼレンスキー大統領及びウクライナの人々の勇敢さに敬意を表します。両国の関係は、特別なグローバル?パートナーシップの下、今後もますます強固に発展していくと確信しており、ゼレンスキー大統領との協力,显示更多,"1,851","8,334",8.6万,https://x.com/takaichi_sanae/status/1981661859636744242/analytics,"1,065万",https://pbs.twimg.com/profile_images/1585550046740848642/OpGKpqx9_normal.jpg,,·,2025/10/21,Warm congratulations to,@ZelenskyyUa,引用,,,,,https://x.com/ZelenskyyUa/status/1980593117960036366,,,,,,,,,Volodymyr Zelenskyy / Володимир Зеленський,"on her election as Prime Minister of Japan.

Japan demonstrates leadership across various domains, defends life and the international rules-based order promoting respect among nations. We hope this leadership will only grow stronger.",显示更多,@takaichi_sanae,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1981656545327714430,10月24日,"メローニ首相から頂いた温かいお祝いのお言葉に心から感謝申し上げます。明年の日イタリア外交関係樹立160周年に向けた両国関係の更なる深化を含め、メローニ首相と共に取り組んでいくことを楽しみにしております。

Desidero esprimere la mia sincera gratitudine al Primo Ministro Giorgia Meloni",显示更多,531,1.4万,14万,https://x.com/takaichi_sanae/status/1981656545327714430/analytics,434万,https://pbs.twimg.com/profile_images/1642074709503115265/cdXsdR2V_normal.jpg,,·,2025/10/21,Le mie più vive congratulazioni a,@GiorgiaMeloni,引用,,,,,https://x.com/GiorgiaMeloni/status/1980584532374913069,,,,,,,,,Giorgia Meloni,"per la nomina a Primo Ministro del Giappone, la prima donna a ricoprire questo incarico nella storia nipponica.

Italia e Giappone condividono valori fondamentali come la libertà, la democrazia e la cooperazione per la stabilità",显示更多,@takaichi_sanae,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1981655159492018352,10月24日,"スターマー首相、温かいお祝いのお言葉に心から感謝します。日英の強化されたグローバルな戦略的パートナーシップに基づき、日英関係を一層強化させていくため、貴首相と共に働けることを私も楽しみにしています。

Prime Minister",显示更多,182,"2,978",4.2万,https://x.com/takaichi_sanae/status/1981655159492018352/analytics,146万,https://pbs.twimg.com/profile_images/1990346242002386944/rQELiCzn_normal.jpg,https://x.com/Keir_Starmer,", I sincerely appreciate your kind words of",2025/10/21,"Congratulations,",@Keir_Starmer,引用,,,,,,,,,,,,,,Keir Starmer,",?on your historic vote as Japan’s first female Prime Minister.

From trade and innovation to defence and security, the UK-Japanese partnership is delivering for both nations.

I look forward to working together.",·,@Takaichi_Sanae,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1981645114788516346,10月24日,"エルシーシ大統領から、温かいお祝いのお言葉を頂き、大変うれしく思います。両国間の戦略的パートナーシップの下、二国間関係を強化するだけでなく、中東地域?国際情勢への対応においても、エジプトと協力できることを楽しみにしています。

I am very pleased to receive warm words of",显示更多,187,"3,491",5.4万,https://x.com/takaichi_sanae/status/1981645114788516346/analytics,262万,https://pbs.twimg.com/profile_images/709812973519413248/dEupp81g_normal.jpg,,·,2025/10/22,"?????? ????? ??????? ??? ?????? ""????? ????????"" ??????? ???????? ?????? ?????? ???????? ????? ????? ????? ??? ?????? ?????? ?? ????? ??????. ????? ?????? ??? ????? ???? ?? ??? ?? ??? ????? ?????? ??????? ???????????? ??? ??????? ?????? ?????? ??????? ??????? ?? ????? ?????????",@AlsisiOfficial,引用,,,,,https://x.com/AlsisiOfficial/status/1980720478625882594,,,,,,,,,Abdelfattah Elsisi,,显示更多,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1981643010908774433,10月24日,"温かい祝辞に感謝します。緊密な貿易?経済協力関係を基礎とした日EU関係を、政治?安全保障分野も含め、更なる高みに発展させるため貴議長と協力していくことを楽しみにしております。

I appreciate",显示更多,196,"4,021",5.7万,https://x.com/takaichi_sanae/status/1981643010908774433/analytics,247万,https://pbs.twimg.com/profile_images/1741758771095797760/xb2ODtmG_normal.jpg,https://x.com/EP_President,for your kind message. Building on the close and cooperative trade and economic,2025/10/21,My warmest congratulations to,@EP_President,引用,https://abs-0.twimg.com/emoji/v2/svg/1f1ea-1f1fa.svg,https://abs-0.twimg.com/emoji/v2/svg/1f1ef-1f1f5.svg,,,,,,,,,,,,Roberta Metsola,"on her historic election as Japan’s first female Prime Minister.

I look forward to advancing the strong partnership between Japan and the European Union, especially in trade and economic cooperation",·,@takaichi_sanae,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1981642144927621558,10月24日,"温かいメッセージに感謝します。日EU間やG7を通じ、さらに広く国際社会において貴委員長と緊密に連携し、政治?安全保障、競争力強化や経済安全保障において我々のパートナーシップを一層強化していくことを楽しみにしています。

Thank you",显示更多,261,"2,259",3.2万,https://x.com/takaichi_sanae/status/1981642144927621558/analytics,105万,https://pbs.twimg.com/profile_images/1151477036545925121/sUDOL-vE_normal.png,https://x.com/vonderleyen,for your warm message. I also look forward,2025/10/21,"Warm congratulations,",@vonderleyen,引用,,,,,https://x.com/vonderleyen/status/1980527857810948320,,,,,,,,,Ursula von der Leyen,", on your election as Japan’s Prime Minister.

As Japan’s first female PM, you’re making history. 

I look forward to working closely together to take the unique-EU Japan partnership to the next level.

For our joint competitiveness.
For our",·,@takaichi_sanae,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1981640825500315782,10月24日,"ルーラ大統領、温かいメッセージをありがとうございます。引き続き日本ブラジル友好交流年を盛り上げつつ、今後も貴大統領と協力して、戦略的グローバル?パートナーシップを一層強化していきます。

Presidente",显示更多,105,"2,309",3.4万,https://x.com/takaichi_sanae/status/1981640825500315782/analytics,106万,https://pbs.twimg.com/profile_images/1630217574100213762/SAMK-BnB_normal.jpg,https://x.com/LulaOficial,", muito obrigada pela calorosa mensagem. Vamos promover o Ano do",2025/10/22,Felicito a,@LulaOficial,引用,,,,,,,,,,,,,,Lula,"por sua elei??o como Primeira-Ministra do Jap?o. Brasil e Jap?o s?o grandes parceiros com muitas oportunidades para estreitar o relacionamento bilateral, que completa 130 anos em 2025.",·,@takaichi_sanae,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1981639255807176847,10月24日,"私の内閣総理大臣就任に当たり祝辞を頂き、感謝申し上げます。
貴首相",显示更多,196,"3,313",4.3万,https://x.com/takaichi_sanae/status/1981639255807176847/analytics,151万,https://pbs.twimg.com/profile_images/1833509376528945157/5AeMNn9f_normal.jpg,https://x.com/narendramodi,"と共に日印特別戦略的グローバル?パートナーシップを更に推し進めるため、協力できることを楽しみにしています。

Thank you very much H.E.",2025/10/21,"Heartiest congratulations, Sanae Takaichi, on your election as the Prime Minister of Japan. I look forward to working closely with you to further strengthen the India–Japan Special Strategic and Global Partnership. Our deepening ties are vital for peace, stability, and prosperity",", Prime Minister of India for extending warm",引用,,,,https://x.com/narendramodi,https://x.com/narendramodi/status/1980507662715400522,,,,,,,,,Narendra Modi,@narendramodi,·,显示更多,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1981637688114704408,10月24日,皆様のお蔭をもちまして、去る10月21日に第104代内閣総理大臣を拝命し、本日、「決断と前進の内閣」の所信表明演説を行いました。,显示更多,"7,171",3.9万,47万,https://x.com/takaichi_sanae/status/1981637688114704408/analytics,"1,437万",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1979202185893446024,10月17日,"村山富市元内閣総理大臣の御逝去の報に接し、夕方に自民党本部で会見を行いましたが、改めて哀悼の誠を捧げます。

私が衆議院議員に初当選した翌年の1994年に、自民党?社会党?新党さきがけによる３党連立政権が樹立され、内閣総理大臣に就任されました。",显示更多,"3,713","6,310",8.3万,https://x.com/takaichi_sanae/status/1979202185893446024/analytics,392万,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1977637535435423786,10月13日,Sincerely appreciate,显示更多,"1,755",1万,7.3万,https://x.com/takaichi_sanae/status/1977637535435423786/analytics,616万,https://pbs.twimg.com/profile_images/1889401757060444160/MDUd0e0g_normal.jpg,https://x.com/SecScottBessent,"'s kind congratulations.
As the Secretary rightly stated, Japan & the U.S. are the closest allies and friends. I hope that our two countries will become more secure and prosperous together by further advancing cooperation of our mutual",2025/10/7,I agree with,@POTUS,引用,,,https://pbs.twimg.com/profile_images/1356299139492040707/eOOxjLFn_bigger.jpg,,https://x.com/SecScottBessent/status/1975232879140434235,,,,,,,,,@takaichi_sanae,"– this is incredible news!

Congratulations to",显示更多,Treasury Secretary Scott Bessent,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1977578080773505414,10月13日,自民党総裁就任に当たり、温かいお祝いメッセージ、心から感謝申し上げます。日本にとって台湾は基本的価値を共有し、緊密な経済関係と人的往来を有する極めて重要なパートナーであり、大切な友人です。日台間の協力と交流が深まることを期待します。,,"5,233",3万,32万,https://x.com/takaichi_sanae/status/1977578080773505414/analytics,"1,110万",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1977290435468128624,10月12日,自民党の税制調査会長人事についても、色々な報道がされていると聞きました。,显示更多,"4,968",4.2万,25万,https://x.com/takaichi_sanae/status/1977290435468128624/analytics,"3,357万",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1977224127154163861,10月12日,"自民党内では、衆参役員の皆様が一体となって、私が申し上げてきた「全員活躍」「全世代総力結集」の人事を進めて下さっていて、感謝にたえません。
 
人数が少なくなった自民党では、本当に全員に役職に就いて頂かなければ、党運営も政策構築も追い付かない現状です。",显示更多,"6,601",3万,23万,https://x.com/takaichi_sanae/status/1977224127154163861/analytics,"1,382万",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高市早苗,@takaichi_sanae,https://x.com/takaichi_sanae/status/1975906037892067773,10月8日,"一昨日に続き、今日もまた、嬉しいニュースが届きました！
京都大学の北川進先生がノーベル化学賞を受賞される事が決まりました。
京都大学の公表資料などによりますと、",显示更多,"3,744",1.8万,25万,https://x.com/takaichi_sanae/status/1975906037892067773/analytics,"1,356万",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
