threadview_response_info,threadview_response_body,threadview_response_body_link href,threadview_response_body_link,threadview_response_body_link href (2),threadview_response_body_link (2),highlight,res_id,js-response,js-ng-setting href,js-response href,threadview_response_body_embedlink href,threadview_response_body_thumbnail src,threadview_response_body_link (3)
"垢版
|
0296 名無しどんぶらこ 2025/11/27(木) 23:34:45.41",">>292
おまえよりはマトモ",,>>292,,,,ID:faVxQwpM0(36/43),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0297 名無しどんぶらこ 2025/11/27(木) 23:34:54.56",は？ふざけんじゃねーよ😡,,,,,,ID:CKzhx2Mo0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0298 名無しどんぶらこ 2025/11/27(木) 23:35:13.91","ID:faVxQwpM0
本日のNGid",,,,,,ID:phCoLabm0(3/3),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0299 名無しどんぶらこ 2025/11/27(木) 23:35:17.83",5ｃｈのレスバでも見ないぞ,,,,,,ID:TbbuiDm60(4/5),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0300 名無しどんぶらこ 2025/11/27(木) 23:35:25.35","おい頑張れパヨク
弾幕足らんぞ（笑）",,,,,,ID:faVxQwpM0(37/43),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0301 名無しどんぶらこ 2025/11/27(木) 23:35:26.96",">>227
そんなことよりも　〜党首討論のうた〜

https://www.youtube..../watch?v=LNSHt3lwEb8

結構おもろいよ",https://www.youtube.com/watch?v=LNSHt3lwEb8,https://www.youtube..../watch?v=LNSHt3lwEb8,,>>227,,ID:lqFOQOfk0(3/4),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://www.youtube.com/watch?v=LNSHt3lwEb8,https://i.ytimg.com/vi/LNSHt3lwEb8/default.jpg,
"垢版
|
0302 名無しどんぶらこ 2025/11/27(木) 23:35:45.50",">>292
テレビは上げてから落とす
鳩山でさえ3ヶ月までは高い支持率だった",,>>292,,,,ID:c+MBDrtP0(3/5),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0303 名無しどんぶらこ 2025/11/27(木) 23:35:47.61","高市早苗は犯罪者議員養成所の手助けかよ
これもNSC？",,,,,,ID:RDi20WPZ0(4/4),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0304 名無しどんぶらこ 2025/11/27(木) 23:35:55.17",">>288
だから回答拒否率62%を統計から外してもよい、ってんなら、どんな支持率だって思いのままよｗ",,>>288,,,,ID:rB++sN9I0(3/10),2,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0305 名無しどんぶらこ 2025/11/27(木) 23:35:59.32","批判してるお前らは裏金の意味をちゃんと理解してる？
ただの不記載なんだけど？",,,,,,ID:envDk9EO0(2/9),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0306 名無しどんぶらこ 2025/11/27(木) 23:36:03.87",">>298
おい逃げんなよ
っていうか、そういうのは黙ってやるんだよバカパヨクくん",,>>298,,,,ID:faVxQwpM0(38/43),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0307 名無しどんぶらこ 2025/11/27(木) 23:36:10.66","裏金議員の守護神が調査やるわけないだろ
支持してる奴がバカ",,,,,,ID:O6pv6w0r0(1/3),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0308 名無しどんぶらこ 2025/11/27(木) 23:36:13.84",U.S. President Donald Trump called Prime Minister Sanae Takaichi this week and advised her not to provoke Beijing on the question of Taiwan's sovereignty. 👉 ebx.sh/8Kx4JJ,,,,,,ID:RLjSWTvy0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0309 名無しどんぶらこ 2025/11/27(木) 23:36:26.61",">>287
政治とカネ
理解してるよ
ワイロ献金のおかげで
法人税下がっただろ
租税特別措置でも２兆円くらいの税金丸儲け
ワイロ献金など安いもの",,>>287,,,,ID:RS/RuJ4w0(13/20),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0310 名無しどんぶらこ 2025/11/27(木) 23:36:35.06",">>295
海外ではそうだけど日本ではまだ慣習となってない",,>>295,,,,ID:c+MBDrtP0(4/5),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0311 名無しどんぶらこ 2025/11/27(木) 23:36:45.12","そんなことより定数削減

首相、台湾有事答弁で釈明に終始　政治とカネには「そんなことより」 ★2 [蚤の市★]
https://asahi.5ch.ne...newsplus/1764206826/",https://asahi.5ch.net/test/read.cgi/newsplus/1764206826/,https://asahi.5ch.ne...newsplus/1764206826/,,,,ID:Nivz2ExG0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0312 名無しどんぶらこ 2025/11/27(木) 23:36:47.40","わかりやすい政治
で高市とか神谷が持て囃されてるが
わかりやすいってだけだ、日本をよくするってわけではないのが問題だよな
言葉が軽いんだよな",,,,,,ID:KEcWVhp50,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0313 名無しどんぶらこ 2025/11/27(木) 23:36:58.37",嘘つきトカゲ冬眠しろ,,,,,,ID:oEHkNoz10,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0314 名無しどんぶらこ 2025/11/27(木) 23:37:05.34",">>279
石破がしがみついた理由もね
（高市総理になったら日本がもたない）",,>>279,,,,ID:sv5loUWw0(3/3),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0315 名無しどんぶらこ 2025/11/27(木) 23:37:11.81",">>305
もちろん裏金は「ただの裏金」だよな？ｗ
マネーロンダリングも「ただの資金洗浄」だよな？ｗ

なにか気になることでもあるのかい？ｗｗｗ",,>>305,,,,ID:rB++sN9I0(4/10),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0316 名無しどんぶらこ 2025/11/27(木) 23:37:13.83",">>3
さすがに安倍の信奉者だけある
安倍の言った『約束はしたが守るとは言ってない』にそっくり",,>>3,,,,ID:QiXpb0gj0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0317 名無しどんぶらこ 2025/11/27(木) 23:37:17.90","政治と金
石破おろしの原因だったのか？",,,,,,ID:Q4ZAEIcZ0(1/4),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0318 名無しどんぶらこ 2025/11/27(木) 23:38:04.47","約束は破るためにある！

by ヤクザの姉御ｗ",,,,,,ID:rB++sN9I0(5/10),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0319 名無しどんぶらこ 2025/11/27(木) 23:38:18.23","そもそもトカゲはくだらない理由で派閥抜けたから裏金議員じゃないだけ
派閥に残ってれば裏金議員の一員だっただろ",,,,,,ID:O6pv6w0r0(2/3),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0320 名無しどんぶらこ 2025/11/27(木) 23:38:29.12",利根川　早苗　である,,,,,,ID:iShhMEi80,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0321 名無しどんぶらこ 2025/11/27(木) 23:38:34.40",もう化けの皮剥がれてきたね,,,,,,ID:X4E+ULuC0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0322 名無しどんぶらこ 2025/11/27(木) 23:38:35.92",">>283
犯罪を犯した在日米軍の兵士の話もネトウヨらは「そんなことよりも」",,>>283,,,,ID:2jNTrdxm0(1/2),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0323 名無しどんぶらこ 2025/11/27(木) 23:38:37.10","パヨクから嫌われてるところを見ると長期政権の可能性はあるな
1年持たんと思ってたけどな",,,,,,ID:faVxQwpM0(39/43),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0324 名無しどんぶらこ 2025/11/27(木) 23:38:56.99",明日殺されても何の不思議でもない発言,,,,,,ID:PeaOUJ810,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0325 名無しどんぶらこ 2025/11/27(木) 23:39:26.10",そんなことより・・・,,,,,,ID:SOJMF9iv0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0326 名無しどんぶらこ 2025/11/27(木) 23:39:29.59",">>309
ワイロ献金とは？初めて聞いたワードなんで教えておじいちゃん",,>>309,,,,ID:envDk9EO0(3/9),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0327 名無しどんぶらこ 2025/11/27(木) 23:39:50.73","何じゃコイツは

消費税減税します、裏金調査します

選挙前と選挙後と真逆のことやっとるやんけ

歴代で1番無能やぞ、早く変われ無能",,,,,,ID:UUokzw2U0,1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0328 名無しどんぶらこ 2025/11/27(木) 23:39:52.34",">>304
支持率なんてあるわけないだろ
そもそも高市が何をやったか知ってる奴がどれだけいるんや
たまたま聞かれて関心がなくても
そのときの印象や気分で適当に「まあ支持かな」が支持率名わけないだろ
戦争して殺されて支持する奴がどれだけいるか聞いてみろや",,>>304,,,,ID:RS/RuJ4w0(14/20),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0329 名無しどんぶらこ 2025/11/27(木) 23:39:54.58",">>283
どっちもションベンレベルだからな
ソウカみたいな核廃棄物よりはゴミ",,>>283,,,,ID:faVxQwpM0(40/43),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0330 名無しどんぶらこ 2025/11/27(木) 23:39:55.86","昨日の野田は良かったな　
けど今日の政権はトランプ顔に泥を塗った　助け船を出したら共犯だよ",,,,,,ID:944b9bpZ0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0331 名無しどんぶらこ 2025/11/27(木) 23:40:05.36",">>304
そもそも実施していない架空の世論調査を記事にし続けた新聞社もあるんだよ。この日本に。",,>>304,,,,ID:2jNTrdxm0(2/2),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0332 名無しどんぶらこ 2025/11/27(木) 23:40:08.98",">>322
手口完全にバレてるから選挙であのザマだってのに、誰かカルト工作員に教えてやる奴はいないのかねぇ",,>>322,,,,ID:Rc7+e4DN0(2/2),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0333 名無しどんぶらこ 2025/11/27(木) 23:40:14.69","小泉純一郎でも、ここまで図太くなかった
雑、つか本物のバカだろ",,,,,,ID:BcZgM1ax0(2/3),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0334 名無しどんぶらこ 2025/11/27(木) 23:40:19.23","野党に説明することではないな
調査が終わり次第自民党のHPで公表するだけのことだ",,,,,,ID:LQYbzLc10,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0335 名無しどんぶらこ 2025/11/27(木) 23:40:20.10",">>1
ブサイクは性格を表す",,>>1,,,,ID:d8S4I/6u0(1/3),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0336 名無しどんぶらこ 2025/11/27(木) 23:40:39.23",">>283
なあ、パヨク
パヨクこそなんでソウカを無視するんだ
ツボツボしか言わないのは何故？

そうか、ソウカ信者だからか（笑）",,>>283,,,,ID:faVxQwpM0(41/43),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0337 名無しどんぶらこ 2025/11/27(木) 23:40:50.57","びっくりしたのが
高市にとって政治と金が「そんなこと」扱いだったこと
ほんと舐めてる",,,,,,ID:Q4ZAEIcZ0(2/4),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0338 名無しどんぶらこ 2025/11/27(木) 23:40:56.15","時々自民党の限界見せてくれるよな
他のよりましだと思うけど",,,,,,ID:Dbvn7III0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0339 名無しどんぶらこ 2025/11/27(木) 23:41:04.02",">>327
一番最初の公約破りは「靖国神社の秋の例大祭に行きます」をやめたこと",,>>327,,,,ID:c+MBDrtP0(5/5),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0340 名無しどんぶらこ 2025/11/27(木) 23:41:17.46","トカゲ様のありがたいお言葉
そんなことより",,,,,,ID:O6pv6w0r0(3/3),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0341 名無しどんぶらこ 2025/11/27(木) 23:41:32.15",">>315
マネロンは関係ないだろ、じゃあ公明党党首の斎藤の4回の不記載は？裏金ではないの？",,>>315,,,,ID:envDk9EO0(4/9),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0342 名無しどんぶらこ 2025/11/27(木) 23:41:38.51","今の高市人気は、ちょっとやそっとでは
何が起きてもそう簡単には誰にも止められない
若者からジジババ世代まで人気絶頂だよ
なぜなら、それは本物の保守本流だからだよ",,,,,,ID:glPb+7lr0(1/12),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0343 名無しどんぶらこ 2025/11/27(木) 23:41:46.89",死ねよ国賊,,,,,,ID:ZXayL4sZ0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0344 名無しどんぶらこ 2025/11/27(木) 23:41:49.53","政治は結果
高市は結果を出した
さっそく日中関係悪化という結果を出した
自分の失言を他人のせいにする結果も出した",,,,,,ID:RS/RuJ4w0(15/20),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0345 名無しどんぶらこ 2025/11/27(木) 23:41:51.04",バカを煽動する能力のみ異常に高いな,,,,,,ID:S5QcYZGQ0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0346 名無しどんぶらこ 2025/11/27(木) 23:41:50.99","まあそんな細かいこといいだろ。
それより維新が企業団体献金の上限を
１５０万以下にするなら
野党と一緒に企業団体規制に賛成すると言ってるで。
国民公明が２０００万上限は確保したいとかしょうもないこと
言うの止めたら、すぐにでも法律が通るわ。
本気でやる気があるならそこまで腹を括ればいい。",,,,,,ID:K3Jzq6+80,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0347 名無しどんぶらこ 2025/11/27(木) 23:41:59.21",">>337
パヨク以外の国民は大抵そう思ってる
どうでもいいってな

それでその少数パヨクに尻尾振ってるのが
立憲",,>>337,,,,ID:faVxQwpM0(42/43),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0348 donguri! 2025/11/27(木) 23:42:05.63",詐欺やでこいつ,,,,,,ID:b9alODId0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0349 名無しどんぶらこ 2025/11/27(木) 23:42:15.43",なにこの朝鮮カルトの売国総理,,,,,,ID:bA2rYw770,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0350 名無しどんぶらこ 2025/11/27(木) 23:42:24.89",">>341
関係あるだろ？ｗ

おまえはマネーロンダリングも知らないのかよｗｗｗ

まいったなあ、もうｗｗｗ
こんなのまで出てきてんのか、おいｗｗｗ",,>>341,,,,ID:rB++sN9I0(6/10),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0351 名無しどんぶらこ 2025/11/27(木) 23:42:41.43","料理しますがあげません
そもそも料理自体曖昧で実用的な料理かもわからないというのが無駄で本質的にヤバそう",,,,,,ID:+NgnvSzp0(1/2),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0352 名無しどんぶらこ 2025/11/27(木) 23:42:44.79",はい始まりました,,,,,,ID:jzn3y4CY0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0353 名無しどんぶらこ 2025/11/27(木) 23:42:48.24",もうお辞めになられたら？,,,,,,ID:46lt2dK80,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0354 名無しどんぶらこ 2025/11/27(木) 23:42:50.04",いや、マネロンは関係ないだろ？,,,,,,ID:envDk9EO0(5/9),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0355 名無しどんぶらこ 2025/11/27(木) 23:42:50.33",韓鶴子さん助けてくださ〜い！,,,,,,ID:36FMt7ot0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0356 名無しどんぶらこ 2025/11/27(木) 23:42:52.00","そんなことよりとか言って最後に定数削減吐き捨てて何やりたいんだろ？と思ってたら動画では論破した高市の勝ち野田反論出来ずみたいなことになってんだな
時間切れ直前に言いたいこと言って勝ちってレスバかよ",,,,,,ID:dqiY5m7a0,1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0357 名無しどんぶらこ 2025/11/27(木) 23:43:12.67",調査結果を壺フレンドだけに共有？！ずるい！！,,,,,,ID:lV6aDmxn0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0358 名無しどんぶらこ 2025/11/27(木) 23:43:23.88",">>1
はい募ったが募集してませーんｗｗ",,>>1,,,,ID:5Z86/2nD0(2/2),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0359 名無しどんぶらこ 2025/11/27(木) 23:43:24.63",このババアホントふざけてんな,,,,,,ID:PcA7VKFh0(1/3),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0360 名無しどんぶらこ 2025/11/27(木) 23:43:33.99",詭弁,,,,,,ID:55V/o4H60,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0361 名無しどんぶらこ 2025/11/27(木) 23:43:37.98",">>350
いや、マネロンは関係ないだろ？関係あるなら根拠どうぞ",,>>350,,,,ID:envDk9EO0(6/9),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0362 名無しどんぶらこ 2025/11/27(木) 23:43:51.89","今の高市人気は、ちょっとやそっとでは
何が起きてもそう簡単には誰にも止められない
若者からジジババ世代まで人気絶頂だよ
なぜなら、それは本物の保守本流だからだよ",,,,,,ID:glPb+7lr0(2/12),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0363 名無しどんぶらこ 2025/11/27(木) 23:44:09.74","ああ言えばこう言うか
クソ高市",,,,,,ID:OXphaNFr0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0364 名無しどんぶらこ 2025/11/27(木) 23:44:11.19",軍事費増強しかできないんじゃないのかこいつ？,,,,,,ID:stm/jag+0(2/4),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0365 名無しどんぶらこ 2025/11/27(木) 23:44:18.31",">>264
吉野作造は長生きしてたら、軍に協力して、軍の御用学者に転じてる可能性も高い
吉野作造の弟も娘婿も軍と協力して、翼賛体制に入ってたし",,>>264,,,,ID:HN3AmNLc0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0366 名無しどんぶらこ 2025/11/27(木) 23:44:21.08","今の高市人気は、ちょっとやそっとでは
何が起きてもそう簡単には誰にも止められない
若者からジジババ世代まで人気絶頂だよ
なぜなら、それは本物の保守本流だからだよ",,,,,,ID:glPb+7lr0(3/12),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0367 名無しどんぶらこ 2025/11/27(木) 23:44:28.99","カイジの利根川みたいだな
まぁ、ネトウヨにはウケそうだよね
外交でもこういう事言えたらいいのにね
結局、内弁慶なだけだろ",,,,,,ID:OJA5hVHX0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0368 名無しどんぶらこ 2025/11/27(木) 23:44:32.82",">>356
まじで？
どう見ても野田の圧勝だろ
それどころか野田は高市に優しかった
後半はいきなり定数削減の話を持ち出して話題逸らし",,>>356,,,,ID:DAQqmdsG0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0369 名無しどんぶらこ 2025/11/27(木) 23:44:34.31",進次郎構文にもならない無能,,,,,,ID:4g+eODP00(1/3),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0370 名無しどんぶらこ 2025/11/27(木) 23:44:34.78","安倍晋三の魂は高市に受け継がれたな
美しい国日本の復活だよ",,,,,,ID:r7fRVHGk0(1/2),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0371 名無しどんぶらこ 2025/11/27(木) 23:44:58.80","マスメディア世論操作通り支持率高いなら総選挙やれば良くないか？
少数与党じゃ困るだろ？",,,,,,ID:4pxgC1850,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0372 名無しどんぶらこ 2025/11/27(木) 23:45:11.62",ほら進次郎の方がマシだった,,,,,,ID:cvS5IivP0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0373 名無しどんぶらこ 2025/11/27(木) 23:45:24.59",">>347
何回書き込んでんだよキチガイ",,>>347,,,,ID:PcA7VKFh0(2/3),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0374 名無しどんぶらこ 2025/11/27(木) 23:45:29.58",不記載の目的は隠蔽,,,,,,ID:TbbuiDm60(5/5),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0375 名無しどんぶらこ 2025/11/27(木) 23:45:35.44",いつまでこの最低レベルの総理を支持してんだよ！,,,,,,ID:so8GQCRA0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0376 名無しどんぶらこ 2025/11/27(木) 23:45:40.04",リアルで利根川言う奴ヤバいって,,,,,,ID:Cr8sgOUo0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0377 名無しどんぶらこ 2025/11/27(木) 23:45:41.26",">>361
いや、あるだろ……

君はおとしはいくちゅ？ｗ
ちゃんと自分でおとしが言えるかな？ｗ
さあ、おとしはいくちゅ？ｗ",,>>361,,,,ID:rB++sN9I0(7/10),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0378 名無しどんぶらこ 2025/11/27(木) 23:45:56.87",これを絶賛支持してるのが今のジャップの民度,,,,,,ID:ENoDkEsD0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0379 名無しどんぶらこ 2025/11/27(木) 23:45:58.57",消費税減税はレジで無理wだし、外国人も何も減ってねえしで一体何だったらできんだよ,,,,,,ID:stm/jag+0(3/4),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0380 名無しどんぶらこ 2025/11/27(木) 23:45:58.74","そんな高市さんに仲間が増えたよ！

【独自】与党、衆院で過半数に　改革の会3人、自民会派へ
https://news.yahoo.c...deb9c8a4f93a60a78433",https://news.yahoo.co.jp/articles/8c923f21a3244fdc2208deb9c8a4f93a60a78433,https://news.yahoo.c...deb9c8a4f93a60a78433,,,,ID:QAcwuOnC0,1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0381 名無しどんぶらこ 2025/11/27(木) 23:46:03.06",安倍以来の、まさに壺魂かな,,,,,,ID:4g+eODP00(2/3),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0382 名無しどんぶらこ 2025/11/27(木) 23:46:04.12","今の高市人気は、ちょっとやそっとでは
何が起きてもそう簡単には誰にも止められない
若者からジジババ世代まで人気絶頂だよ
なぜなら、それは本物の保守本流だからだよ
未熟なクソガキには理解できないだろう",,,,,,ID:glPb+7lr0(4/12),2,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
"垢版
|
0383 名無しどんぶらこ 2025/11/27(木) 23:46:06.29","高市人気で自民党やりたい放題
アホな国民はてのひらの上でコーロコロ
駄目だこりゃｗ",,,,,,ID:gpzdfECv0,,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0384 名無しどんぶらこ 2025/11/27(木) 23:46:12.12",">>342
戦前の軍部も
若者からバカ者からジジババ世代まで
任期絶頂だったよ
あぜなち経済オンチ本流で
華北支配後の円元パー政策の失態で外貨を蒋介石に渡してしまって日本に損をさせ
それを英米のブロック経済に持たざる国の日本が圧迫されたからと
ピント外れの宣伝工作で国民の英米敵視を煽って人気をえたからな
それを安倍が戦後７０年談話で真に受けて書き込むお粗末なおまけ",,>>342,,,,ID:RS/RuJ4w0(16/20),,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,,
"垢版
|
0385 名無しどんぶらこ 2025/11/27(木) 23:46:17.86",">>377
いやだから関係あるなら根拠教えてくださいよ",,>>377,,,,ID:envDk9EO0(7/9),1,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,https://itest.5ch.net/asahi/test/read.cgi/newsplus/1764251739#,,,
